codigo_comuna,nombre_comuna,pobreza_ingresos_2017,pobreza_multidimensional_2017,pobreza_ingresos_2022,pobreza_multidimensional_2022,tratamiento,delta_ing,delta_multi
1101,Iquique,0.04383602,0.19738419,0.0789038084125465,0.1827223205124273,0,0.0350677884125465,-0.014661869487572698
1107,Alto Hospicio,0.07755472,0.27545137,0.1526343951969381,0.3260190647401675,0,0.07507967519693812,0.050567694740167535
1401,Pozo Almonte,0.10880112,0.38811721,0.1533439714492286,0.249502204087565,0,0.04454285144922859,-0.138615005912435
1402,Camiña,0.2644559,0.51823161,0.2403646850427617,0.2229181152258972,0,-0.024091214957238316,-0.29531349477410274
1403,Colchane,0.13947724,0.63507166,0.222535219863316,0.3001604898924289,0,0.083057979863316,-0.33491117010757115
1404,Huara,0.18823709,0.46539751,0.1806587194051391,0.3856507222399186,0,-0.007578370594860884,-0.07974678776008143
1405,Pica,0.08634709,0.32262944,0.1073139711951238,0.1682191531164837,0,0.0209668811951238,-0.1544102868835163
2101,Antofagasta,0.05064389,0.1657858,0.0723280011780324,0.1665433860770091,0,0.0216841111780324,7.575860770090981e-4
2102,Mejillones,0.07660999,0.21993828,0.0713974044105353,0.1985396183560122,0,-0.005212585589464705,-0.02139866164398782
2103,Sierra Gorda,0.01411298,0.25258953,0.0210601844587243,0.164774377335013,0,0.0069472044587243,-0.08781515266498702
2104,Taltal,0.03510796,0.26013415,0.1148022160931823,0.2114705558481934,0,0.07969425609318229,-0.0486635941518066
2201,Calama,0.04585084,0.13672058,0.0814314336495489,0.1677233196328674,0,0.0355805936495489,0.0310027396328674
2202,Ollagüe,0.20190913,0.35269618,0.0872122154773289,0.1608481061808905,0,-0.1146969145226711,-0.19184807381910954
2301,Tocopilla,0.10404051,0.20080845,0.1042763665480032,0.2051571437541616,0,2.35856548003191e-4,0.004348693754161609
2302,María Elena,0.0499388,0.18503285,0.0555137962456072,0.1517437187823854,0,0.0055749962456072,-0.03328913121761459
3101,Copiapó,0.06261117,0.23326927,0.0723272003464545,0.1982542830041192,0,0.009716030346454504,-0.03501498699588079
3102,Caldera,0.10440639,0.20353822,0.041111214166464,0.1966349164476661,0,-0.063295175833536,-0.0069033035523339
3103,Tierra Amarilla,0.14250434,0.31413365,0.0687489601067054,0.3451075486732856,0,-0.0737553798932946,0.030973898673285594
3201,Chañaral,0.12068847,0.25230111,0.1146199488480459,0.2279385710690415,0,-0.006068521151954109,-0.024362538930958494
3301,Vallenar,0.08833259,0.21206309,0.1072782589700814,0.1651411853990985,0,0.018945668970081403,-0.04692190460090151
3303,Freirina,0.15726887,0.32862593,0.1338693829029102,0.2856815387228722,0,-0.023399487097089805,-0.04294439127712779
3304,Huasco,0.0972109,0.17347754,0.1137412786295817,0.1780798713095849,0,0.01653037862958169,0.004602331309584873
4101,La Serena,0.10244341,0.20130682,0.0592880060549407,0.1310480151568746,0,-0.0431554039450593,-0.07025880484312541
4102,Coquimbo,0.134088,0.18032798,0.0706443084531717,0.1672389298298226,0,-0.06344369154682832,-0.013089050170177391
4103,Andacollo,0.14848801,0.26149514,0.1045025470539818,0.1935300648998012,0,-0.0439854629460182,-0.06796507510019881
4104,La Higuera,0.20537325,0.40254275,0.1074879738365082,0.2952978175183854,0,-0.09788527616349181,-0.1072449324816146
4105,Paiguano,0.10481378,0.20733424,0.0829195756913736,0.1513910515532162,0,-0.02189420430862639,-0.05594318844678381
4106,Vicuña,0.12251948,0.23208108,0.1091485858372039,0.1946513405863561,0,-0.013370894162796104,-0.03742973941364389
4201,Illapel,0.12024203,0.25355535,0.0805249271472149,0.1695929773890534,0,-0.0397171028527851,-0.0839623726109466
4202,Canela,0.25102221,0.43462559,0.1631210174806921,0.2388523174617273,0,-0.08790119251930792,-0.1957732725382727
4203,Los Vilos,0.13812151,0.29480047,0.0845242652760587,0.2092770702585449,0,-0.0535972447239413,-0.08552339974145509
4204,Salamanca,0.12528704,0.27214893,0.0910756655133426,0.13990133822318301,0,-0.034211374486657384,-0.132247591776817
4301,Ovalle,0.05741716,0.26120325,0.0950851247736988,0.1796808627650461,0,0.037667964773698805,-0.08152238723495389
4302,Combarbalá,0.16209725,0.33468489,0.1099473813298209,0.2240293085764957,0,-0.052149868670179095,-0.11065558142350432
4303,Monte Patria,0.21362812,0.3350417,0.127703937398395,0.2318508104896711,0,-0.085924182601605,-0.1031908895103289
4304,Punitaqui,0.25163395,0.35973611,0.1446494802443967,0.2677243463711331,0,-0.1069844697556033,-0.09201176362886687
4305,Río Hurtado,0.17193623,0.39966052,0.0776795378842543,0.2282872877532421,0,-0.0942566921157457,-0.1713732322467579
5101,Valparaíso,0.07078369,0.19102796,0.0737638728625354,0.1909628761191595,0,0.002980182862535402,-6.50838808405052e-5
5102,Casablanca,0.08921629,0.16934199,0.0822060944128588,0.1961699827907604,0,-0.0070101955871412075,0.026827992790760397
5103,Concón,0.0241616,0.17131794,0.0271775942460564,0.1340084487646285,0,0.003015994246056402,-0.0373094912353715
5104,Juan Fernández,0.05117331,0.17572014,0.0246874137642685,0.0562813270421182,0,-0.0264858962357315,-0.11943881295788181
5105,Puchuncaví,0.08445788,0.2794185,0.032935928149776,0.3160004576916783,0,-0.051521951850224,0.03658195769167827
5107,Quintero,0.0528949,0.26914333,0.0772216179016149,0.23414688344888,0,0.0243267179016149,-0.034996446551120025
5301,Los Andes,0.07006698,0.11894771,0.0812767492126049,0.1519413798212355,0,0.0112097692126049,0.03299366982123551
