codigo_comuna,nombre_comuna,pobreza_ingresos_2017,pobreza_multidimensional_2017,pobreza_ingresos_2022,pobreza_multidimensional_2022
1101,Iquique,0.04383602,0.19738419,0.0789038084125465,0.1827223205124273
1107,Alto Hospicio,0.07755472,0.27545137,0.1526343951969381,0.3260190647401675
1401,Pozo Almonte,0.10880112,0.38811721,0.1533439714492286,0.249502204087565
1402,Camiña,0.2644559,0.51823161,0.2403646850427617,0.2229181152258972
1403,Colchane,0.13947724,0.63507166,0.222535219863316,0.3001604898924289
1404,Huara,0.18823709,0.46539751,0.1806587194051391,0.3856507222399186
1405,Pica,0.08634709,0.32262944,0.1073139711951238,0.1682191531164837
2101,Antofagasta,0.05064389,0.1657858,0.0723280011780324,0.1665433860770091
2102,Mejillones,0.07660999,0.21993828,0.0713974044105353,0.1985396183560122
2103,Sierra Gorda,0.01411298,0.25258953,0.0210601844587243,0.164774377335013
2104,Taltal,0.03510796,0.26013415,0.1148022160931823,0.2114705558481934
2201,Calama,0.04585084,0.13672058,0.0814314336495489,0.1677233196328674
2202,Ollagüe,0.20190913,0.35269618,0.0872122154773289,0.1608481061808905
2301,Tocopilla,0.10404051,0.20080845,0.1042763665480032,0.2051571437541616
2302,María Elena,0.0499388,0.18503285,0.0555137962456072,0.1517437187823854
3101,Copiapó,0.06261117,0.23326927,0.0723272003464545,0.1982542830041192
3102,Caldera,0.10440639,0.20353822,0.041111214166464,0.1966349164476661
3103,Tierra Amarilla,0.14250434,0.31413365,0.0687489601067054,0.3451075486732856
3201,Chañaral,0.12068847,0.25230111,0.1146199488480459,0.2279385710690415
3301,Vallenar,0.08833259,0.21206309,0.1072782589700814,0.1651411853990985
3303,Freirina,0.15726887,0.32862593,0.1338693829029102,0.2856815387228722
3304,Huasco,0.0972109,0.17347754,0.1137412786295817,0.1780798713095849
4101,La Serena,0.10244341,0.20130682,0.0592880060549407,0.1310480151568746
4102,Coquimbo,0.134088,0.18032798,0.0706443084531717,0.1672389298298226
4103,Andacollo,0.14848801,0.26149514,0.1045025470539818,0.1935300648998012
4104,La Higuera,0.20537325,0.40254275,0.1074879738365082,0.2952978175183854
4105,Paiguano,0.10481378,0.20733424,0.0829195756913736,0.1513910515532162
4106,Vicuña,0.12251948,0.23208108,0.1091485858372039,0.1946513405863561
4201,Illapel,0.12024203,0.25355535,0.0805249271472149,0.1695929773890534
4202,Canela,0.25102221,0.43462559,0.1631210174806921,0.2388523174617273
4203,Los Vilos,0.13812151,0.29480047,0.0845242652760587,0.2092770702585449
4204,Salamanca,0.12528704,0.27214893,0.0910756655133426,0.139901338223183
4301,Ovalle,0.05741716,0.26120325,0.0950851247736988,0.1796808627650461
4302,Combarbalá,0.16209725,0.33468489,0.1099473813298209,0.2240293085764957
4303,Monte Patria,0.21362812,0.3350417,0.127703937398395,0.2318508104896711
4304,Punitaqui,0.25163395,0.35973611,0.1446494802443967,0.2677243463711331
4305,Río Hurtado,0.17193623,0.39966052,0.0776795378842543,0.2282872877532421
5101,Valparaíso,0.07078369,0.19102796,0.0737638728625354,0.1909628761191595
5102,Casablanca,0.08921629,0.16934199,0.0822060944128588,0.1961699827907604
5103,Concón,0.0241616,0.17131794,0.0271775942460564,0.1340084487646285
5104,Juan Fernández,0.05117331,0.17572014,0.0246874137642685,0.0562813270421182
5105,Puchuncaví,0.08445788,0.2794185,0.032935928149776,0.3160004576916783
5107,Quintero,0.0528949,0.26914333,0.0772216179016149,0.23414688344888
5301,Los Andes,0.07006698,0.11894771,0.0812767492126049,0.1519413798212355
5302,Calle Larga,0.17179798,0.16754735,0.0699636177048112,0.1446940639104032
5303,Rinconada,0.10531131,0.22155365,0.0811464281142058,0.2509969172056229
5304,San Esteban,0.1069641,0.12561534,0.0847279717908345,0.2095939608760251
5401,La Ligua,0.1666296,0.24890117,0.0817521029546143,0.2360825307452728
5402,Cabildo,0.16371276,0.25332233,0.089311136082706,0.2054373479217536
5403,Papudo,0.07631796,0.19109505,0.072538349124714,0.1885167222352841
5404,Petorca,0.10160992,0.19327797,0.0453772904480417,0.1645275509237039
5405,Zapallar,0.04502509,0.24607102,0.0430643760832731,0.2664368650991422
5501,Quillota,0.09929992,0.19778726,0.0529792243187874,0.1548179568227342
5502,Calera,0.15768471,0.23146391,0.0709131362348937,0.1672269428239748
5503,Hijuelas,0.08977012,0.32145465,0.0908477372380252,0.223375759902125
5504,La Cruz,0.06928084,0.19806905,0.0317328432254445,0.13961148087308
5506,Nogales,0.07717904,0.39116577,0.0556203807439519,0.1507740114176979
5601,San Antonio,0.07510975,0.1884508,0.0663109952991591,0.1421766789704198
5602,Algarrobo,0.03274533,0.16914121,0.0606386795214108,0.1958341211778206
5603,Cartagena,0.06865372,0.22976924,0.0742176240862708,0.2836208815158964
5604,El Quisco,0.03433246,0.20472051,0.0895560346569267,0.1172667245833501
5605,El Tabo,0.06201755,0.16904692,0.0330902558259376,0.2069859415587958
5606,Santo Domingo,0.03979914,0.17076639,0.0597817766074286,0.1613014468356764
5701,San Felipe,0.08170019,0.1992491,0.0702000915994201,0.1720309448127638
5702,Catemu,0.16867505,0.22322502,0.1204219901044855,0.1845712712210038
5703,Llaillay,0.07810892,0.26800213,0.0918590488889491,0.1553861159047455
5704,Panquehue,0.10167596,0.22818079,0.0948993088337684,0.1825311779668508
5705,Putaendo,0.09252123,0.33744685,0.10026670029428,0.2318458256018698
5706,Santa María,0.12910137,0.15794516,0.0890029557964833,0.1977829503860865
5801,Quilpué,0.0525402,0.1205847,0.0554745185306623,0.1603025276312196
5802,Limache,0.0444495,0.30290267,0.0687725825529546,0.1761617545896549
5803,Olmué,0.06921792,0.28029631,0.0749669758314221,0.2611433684465534
5804,Villa Alemana,0.03731373,0.14397465,0.0444261232241176,0.1496365970013776
6101,Rancagua,0.10638726,0.13225588,0.0633147898968257,0.1467860766126442
6102,Codegua,0.08943369,0.18721809,0.0554854261259547,0.181508850542737
6103,Coinco,0.14438583,0.312365,0.0982188256947752,0.2186544384888069
6104,Coltauco,0.14442604,0.22141236,0.1002123568807099,0.1640428627989336
6105,Doñihue,0.07490566,0.16602815,0.0906154675177767,0.150522331716512
6106,Graneros,0.07011657,0.18512352,0.0527253498238002,0.1326121310780797
6107,Las Cabras,0.1333034,0.1819074,0.0757700618822937,0.1647209003832161
6108,Machalí,0.07241851,0.17981453,0.0304240300783655,0.1288279502614129
6109,Malloa,0.12141748,0.23890576,0.0979224588549948,0.1339766549633481
6110,Mostazal,0.09991279,0.26223919,0.0731439871895892,0.2103144227321731
6111,Olivar,0.08491641,0.25891036,0.079633655473524,0.1843191227390378
6112,Peumo,0.12510976,0.24307861,0.0771846975122764,0.1081426635227316
6113,Pichidegua,0.11634192,0.24221957,0.1092073031580498,0.1304149837700122
6114,Quinta De Tilcoco,0.12904192,0.29742149,0.0903631542591291,0.1475476136345906
6115,Rengo,0.10198429,0.15455621,0.0543306855548743,0.1356822423743538
6116,Requínoa,0.07708853,0.26884638,0.029791232299741,0.1678949479353388
6117,San Vicente,0.07108059,0.1927464,0.0919857025407997,0.1713239198961732
6201,Pichilemu,0.04056908,0.25087176,0.0687241519513018,0.1811798568147862
6202,La Estrella,0.14014257,0.21715486,0.0972836854698636,0.1589648691103269
6203,Litueche,0.09825092,0.21221844,0.0937223319065256,0.2784890455672739
6204,Marchihue,0.06259719,0.19376644,0.0915280793156548,0.1672746329487706
6205,Navidad,0.1171075,0.31339207,0.1231394137656237,0.2064829004379032
6206,Paredones,0.1478546,0.24778167,0.1493725761650852,0.2119516198970477
6301,San Fernando,0.10123158,0.18332937,0.0680844329056693,0.1364157641574735
6302,Chépica,0.11950377,0.28034751,0.0886505643884024,0.1635293464255572
6303,Chimbarongo,0.15857141,0.21476203,0.0852544086262547,0.1745653840249027
6304,Lolol,0.13359179,0.2193882,0.1145996711178917,0.2201930221921328
6305,Nancagua,0.11174936,0.15727458,0.0891118720322719,0.1551725270452553
6306,Palmilla,0.09127718,0.26839395,0.0811980875883981,0.1814471049826391
6307,Peralillo,0.07602012,0.18645861,0.0718150224300943,0.1578689958581813
6308,Placilla,0.17643578,0.21150043,0.0959394977136381,0.1902561804393729
6309,Pumanque,0.10663007,0.24688695,0.1236410123484773,0.1470926442698932
6310,Santa Cruz,0.0496429,0.15908295,0.0670195937995793,0.1057750663535234
7101,Talca,0.07981595,0.17092195,0.0572701967777684,0.1064248432373778
7102,Constitución,0.07541426,0.20843868,0.1081072542788957,0.1716681538620413
7103,Curepto,0.15417901,0.31520738,0.1409961701302721,0.1248884156947247
7104,Empedrado,0.16625834,0.37588125,0.1258615159951405,0.1810387600156589
7105,Maule,0.1103221,0.31072966,0.0907249603652165,0.1103678762469931
7106,Pelarco,0.15974821,0.29122541,0.1177984450149211,0.2060063051451192
7107,Pencahue,0.0849309,0.3173921,0.1168547056300677,0.2063081350629477
7108,Río Claro,0.10634282,0.27756753,0.0940344211187788,0.2079968740283901
7109,San Clemente,0.16650646,0.35652126,0.1052914243377955,0.1803188109056239
7110,San Rafael,0.06977858,0.23458422,0.1126402723092326,0.1197787028133674
7201,Cauquenes,0.20000014,0.26197959,0.1157221024864185,0.1612264833012279
7202,Chanco,0.20374063,0.43418023,0.1431555836782915,0.2280337293486035
7203,Pelluhue,0.19376692,0.29974462,0.1278868865740387,0.2019016499091143
7301,Curicó,0.09851311,0.15172951,0.0727344963965281,0.174270016603429
7302,Hualañé,0.21385008,0.21142252,0.0920953406712878,0.1613148822912643
7303,Licantén,0.23263637,0.24303982,0.073529089128023,0.1443029071057684
7304,Molina,0.13050635,0.16622861,0.0787188587902467,0.1792187669623471
7305,Rauco,0.18138953,0.23621109,0.1046940775833883,0.1869603474046295
7306,Romeral,0.11690577,0.24059632,0.0765027834005433,0.1638044877870572
7307,Sagrada Familia,0.1567053,0.19940694,0.087606056446404,0.1663596148994721
7308,Teno,0.09153017,0.20634385,0.0753906417667139,0.1871496463325077
7309,Vichuquén,0.17128331,0.37365512,0.0872167424050513,0.2020057626313176
7401,Linares,0.11340097,0.22914411,0.0885919552169169,0.1047177256301094
7402,Colbún,0.25091513,0.30506398,0.1181205973029969,0.2037950260841096
7403,Longaví,0.2385037,0.37316719,0.1161055510284763,0.2150522571608853
7404,Parral,0.16911426,0.23397966,0.0927740647276361,0.1357331702205417
7405,Retiro,0.22514205,0.31913125,0.1218370057800926,0.1887671387886526
7406,San Javier,0.20021908,0.29433982,0.0970500027439013,0.1550942014328016
7407,Villa Alegre,0.19620953,0.30523182,0.0977406128748939,0.1333261529497468
7408,Yerbas Buenas,0.22078633,0.32913822,0.1156975900531806,0.1674776312342532
8101,Concepción,0.076952,0.13426546,0.0540667725117365,0.1147780254770943
8102,Coronel,0.11355252,0.14545671,0.0627748074851006,0.1357765716343146
8103,Chiguayante,0.08714971,0.12647706,0.0571067698213955,0.1086998656243048
8104,Florida,0.15872625,0.37827812,0.1077854627772424,0.2743999992297454
8105,Hualqui,0.12908332,0.22151223,0.1033807937198529,0.2086274386008481
8106,Lota,0.18130009,0.19616061,0.0841591503408318,0.1751600700905135
8107,Penco,0.08586593,0.18259738,0.0605331369319333,0.1152410352340905
8109,Santa Juana,0.15478639,0.29732238,0.1280438568771017,0.1932417650525873
8110,Talcahuano,0.07914328,0.16653557,0.0508274311371509,0.1055202428923566
8111,Tomé,0.07272963,0.21713104,0.0797694072007244,0.153392936651816
8112,Hualpén,0.10529945,0.10954233,0.0321556544467154,0.096813991003835
8201,Lebu,0.132473,0.32239832,0.1052461122573942,0.2635464883090293
8202,Arauco,0.15933187,0.1839622,0.0919633777899737,0.170527167685417
8203,Cañete,0.15803516,0.20061957,0.1327324636700346,0.2725037414105536
8204,Contulmo,0.24216284,0.29969568,0.1229370962304697,0.2334205373874799
8205,Curanilahue,0.12304258,0.12045073,0.0848369356180284,0.1982850550599733
8206,Los Álamos,0.16085991,0.26651771,0.1110636110482628,0.1949182305379775
8207,Tirúa,0.26080515,0.34881546,0.2008124298944406,0.3412283249669039
8301,Los Ángeles,0.17415379,0.16133263,0.0845303222425905,0.1410373788294475
8302,Antuco,0.28763007,0.19788192,0.1445153956231243,0.1357727680901923
8303,Cabrero,0.11202894,0.14102765,0.1035195465766158,0.1696590997670865
8304,Laja,0.19354642,0.25088825,0.1126259380668065,0.1630933665450215
8305,Mulchén,0.14801229,0.24379123,0.1216238491587788,0.2250082407336402
8306,Nacimiento,0.17353189,0.25728964,0.109726027871444,0.1190982975603903
8307,Negrete,0.17865508,0.22914528,0.0994554752298376,0.1479066971047656
8308,Quilaco,0.21121315,0.27591058,0.1302699543346095,0.1791983659002294
8309,Quilleco,0.16048127,0.25581265,0.1348236293186302,0.1798665491260707
8310,San Rosendo,0.20803186,0.17903816,0.1097114228804065,0.1442366037432356
8311,Santa Bárbara,0.16387206,0.24442625,0.1474064808854524,0.179607765447841
8312,Tucapel,0.1576684,0.19366997,0.1095376758567159,0.1521601553846696
8313,Yumbel,0.21028359,0.24692465,0.1255900304518519,0.1611046980422006
8314,Alto Biobío,0.39734079,0.60732401,0.2211119832696153,0.3891185831387436
9101,Temuco,0.10371617,0.16508571,0.0858731134685895,0.1386498346664029
9102,Carahue,0.24396579,0.51377302,0.1791262112929498,0.3040528466908992
9103,Cunco,0.19653942,0.34190476,0.1480947838943408,0.1798340013016798
9104,Curarrehue,0.22847045,0.54114033,0.1521925567262996,0.2310883451868623
9105,Freire,0.24020264,0.34135564,0.1441236436286287,0.2504313802928911
9106,Galvarino,0.37286297,0.54443293,0.1675842073730385,0.399338288860634
9107,Gorbea,0.11297005,0.30234953,0.12754527656974,0.1979370321525757
9108,Lautaro,0.16795547,0.22130998,0.0881335305609899,0.1950039856942205
9109,Loncoche,0.30205946,0.3107614,0.1227706099754267,0.1570289721390054
9110,Melipeuco,0.25711641,0.4064021,0.1566905777888791,0.1757631275205453
9111,Nueva Imperial,0.19880688,0.43547636,0.1282838681912552,0.2358469572435264
9113,Perquenco,0.219331,0.33647659,0.1414140149910871,0.2323790597862453
9114,Pitrufquén,0.10642299,0.2809266,0.1067562143921306,0.1753362090468202
9115,Pucón,0.08912129,0.27557437,0.0815630919386379,0.2007808323040329
9116,Saavedra,0.35380893,0.54229918,0.2427790507363581,0.4446117256808059
9117,Teodoro Schmidt,0.27462362,0.3580627,0.1993382101295594,0.2592297182952448
9118,Toltén,0.35105058,0.46377859,0.1678913118682342,0.2672949053851563
9119,Vilcún,0.31972391,0.4359139,0.1171375768691899,0.2274699305910103
9120,Villarrica,0.12514797,0.27534851,0.0767430901586592,0.1569900574524313
9121,Cholchol,0.41604544,0.54167772,0.1968788132237581,0.3651108177317344
9201,Angol,0.15559463,0.2126753,0.0902662095009179,0.1963600674638373
9202,Collipulli,0.24027875,0.36564783,0.1313837175107866,0.2207295548304465
9203,Curacautín,0.14214784,0.25977156,0.1092938122360393,0.1889667081808378
9204,Ercilla,0.26687255,0.47276071,0.1784881441824691,0.4159821195200991
9205,Lonquimay,0.33480922,0.54934608,0.1836051616650008,0.3196250733089366
9206,Los Sauces,0.24080369,0.37334062,0.1735602636652928,0.2547271186018171
9207,Lumaco,0.33320903,0.47214555,0.2146869468141867,0.341354691288683
9208,Purén,0.1770292,0.40113289,0.1294895634365,0.3092650906976528
9209,Renaico,0.18578177,0.22198853,0.1247576527893416,0.1661970247749153
9210,Traiguén,0.21272821,0.32287048,0.1414555179852079,0.2114692834493723
9211,Victoria,0.22497901,0.32619713,0.1434975133541408,0.1934026351309397
10101,Puerto Montt,0.11422159,0.20335364,0.0649607520553968,0.1549817387771495
10102,Calbuco,0.13465872,0.41103062,0.0851029844370064,0.3312038814801961
10103,Cochamó,0.13594979,0.34148517,0.1079937247332228,0.2273495510319352
10104,Fresia,0.18037101,0.32598359,0.1120609040367706,0.2855706635910681
10105,Frutillar,0.10357,0.26395348,0.0583622476355584,0.2031228134917048
10106,Los Muermos,0.10406882,0.3426447,0.116458852845239,0.2922247036839122
10107,Llanquihue,0.13691201,0.21309504,0.0591694874021962,0.1795517139823419
10108,Maullín,0.16350048,0.3075604,0.1269646823510594,0.3018116725949436
10109,Puerto Varas,0.05874276,0.21093638,0.0211498409616075,0.1399656981389983
10201,Castro,0.10125657,0.23231826,0.0322611562396279,0.1821138994250152
10202,Ancud,0.14518747,0.25042273,0.0552579191735656,0.2295276483630872
10203,Chonchi,0.12779166,0.34460325,0.0927966391586106,0.2844525905593493
10204,Curaco De Vélez,0.13809998,0.31563732,0.0945413240617612,0.2633466625474813
10205,Dalcahue,0.11601071,0.25299398,0.0934923641044132,0.285809711329468
10206,Puqueldón,0.13815176,0.38648381,0.177582537963943,0.2422483180793752
10207,Queilén,0.1980326,0.41256904,0.1225810557964359,0.2929986448372935
10208,Quellón,0.13116244,0.36292533,0.0901175894643707,0.2990910400907058
10209,Quemchi,0.20322162,0.39798921,0.1237815143860561,0.2341360343338149
10210,Quinchao,0.2695973,0.43355627,0.1243995669858368,0.2524860988007638
10301,Osorno,0.08518271,0.22033351,0.061613408936192,0.1423975554903045
10302,Puerto Octay,0.13996886,0.27432036,0.0752986706991756,0.3068151024440027
10303,Purranque,0.1123131,0.29530678,0.0858921314877395,0.2581086143140769
10304,Puyehue,0.12191193,0.30106992,0.0956614339367623,0.2394532086292785
10305,Río Negro,0.15314492,0.27933586,0.0830981134341372,0.2302825542473828
10307,San Pablo,0.16609207,0.31613864,0.0982503330203316,0.255344153589068
10401,Chaitén,0.12169462,0.26697705,0.0895098671271891,0.2469898153169616
10402,Futaleufú,0.10714858,0.28724009,0.0559904041910052,0.2272631186649464
10403,Hualaihué,0.16991809,0.29420334,0.1035540993190805,0.2618400702035827
10404,Palena,0.09957714,0.23938687,0.0912023029537353,0.2052198565786676
11101,Coyhaique,0.02783752,0.18118717,0.0288352585463356,0.1396166217967637
11102,Lago Verde,0.12039172,0.24961795,0.0087470267124388,0.1795139790829317
11201,Aysén,0.06808502,0.19357561,0.0527985630170017,0.1279709578340417
11202,Cisnes,0.06501931,0.17707007,0.049515886994756,0.123008957507306
11203,Guaitecas,0.12203723,0.23771306,0.060502560213658,0.2215444599908279
11301,Cochrane,0.05884153,0.21817137,0.0632816392729615,0.1434959574207131
11303,Tortel,0.14457947,0.27297255,0.0459246971410993,0.1229530397493346
11401,Chile Chico,0.05257007,0.20140253,0.0620207824113862,0.1634580893863592
11402,Río Ibáñez,0.06549319,0.2687927,0.0698479792222295,0.1884343834013771
12101,Punta Arenas,0.02074918,0.10262304,0.0350005793479778,0.0707718081061579
12102,Laguna Blanca,0.02925657,0.02656705,0.0225067390553724,0.0035282028196388
12103,Río Verde,0.00715318,0.09023525,0.0281890355070991,0.0011331582317061
12104,San Gregorio,0.01344931,0.05825317,0.0805983482232377,0.0940032402010797
12301,Porvenir,0.02104077,0.08291291,0.0362748693191155,0.1241992575148237
12302,Primavera,0.0232769,0.0816723,0.0129616978715644,0.079670079895013
12303,Timaukel,0.00403033,0.00620752,0.0643388618588492,0.0342741222689071
12401,Natales,0.02325635,0.14135254,0.0310349398476536,0.0461383939173473
13101,Santiago,0.04084826,0.09628715,0.0386478117216323,0.164653734141174
13102,Cerrillos,0.06476164,0.27421767,0.0522870111775707,0.2255374730245521
13103,Cerro Navia,0.07585763,0.34635699,0.06013533802509,0.2302281789574101
13104,Conchalí,0.07432021,0.29371744,0.060799472093692,0.187201896725848
13105,El Bosque,0.09584064,0.22650157,0.0619823725912457,0.1747738027596023
13106,Estación Central,0.05806934,0.23454909,0.0504239615954192,0.2281163588444093
13107,Huechuraba,0.05638061,0.2884373,0.0427655720851334,0.1864442546840797
13108,Independencia,0.08502842,0.20910529,0.0583398308206952,0.2241661693493683
13109,La Cisterna,0.06596486,0.17820372,0.0409231285771274,0.1347279203860801
13110,La Florida,0.04498058,0.18990417,0.0352990300428956,0.1315624336137105
13111,La Granja,0.04751198,0.21910374,0.060301679600837,0.223084879179912
13112,La Pintana,0.14142132,0.3273877,0.0929384318611161,0.2699824915275631
13113,La Reina,0.00985902,0.06936215,0.0160271174720389,0.048980362979318
13114,Las Condes,0.00190685,0.0423259,0.0090932522191821,0.0443217707542669
13115,Lo Barnechea,0.02842101,0.17182714,0.0090283132496764,0.1088800332236285
13116,Lo Espejo,0.06686568,0.37501351,0.067816947929765,0.2878065809478786
13117,Lo Prado,0.05778872,0.24484662,0.0532668473794904,0.1932317289685201
13118,Macul,0.07454475,0.13472951,0.0347473546090611,0.1344623981341168
13119,Maipú,0.02569542,0.13220459,0.0325124073978176,0.1484350729123425
13120,Ñuñoa,0.00898452,0.05761816,0.0148884395483138,0.0516830595223607
13121,Pedro Aguirre Cerda,0.06211479,0.26762879,0.0547317288225348,0.2017407167822362
13122,Peñalolén,0.04369371,0.26276122,0.0324167133230181,0.1664386719004848
13123,Providencia,0.00431632,0.03383548,0.013219074548207,0.0432319776550672
13124,Pudahuel,0.08245532,0.22505142,0.0436604943708393,0.1687675647047248
13125,Quilicura,0.05682917,0.17923171,0.0522229035787786,0.1704715356960316
13126,Quinta Normal,0.0372703,0.23482269,0.0214930626253334,0.1968067370077515
13127,Recoleta,0.06894474,0.22503532,0.0513907553382925,0.2116011207242852
13128,Renca,0.03729648,0.24522084,0.0525998124509757,0.1949707224376312
13129,San Joaquín,0.05238959,0.21101154,0.0483953477287964,0.1961400511313466
13130,San Miguel,0.04846963,0.17245069,0.0217271386399922,0.1291992903205972
13131,San Ramón,0.04602968,0.27939963,0.0688212635197568,0.1917304962688529
13132,Vitacura,0.00134706,0.03482807,0.0089104623494184,0.0244241216162357
13201,Puente Alto,0.07293881,0.23313428,0.0503759199144549,0.1892049811057004
13202,Pirque,0.04745061,0.2032582,0.0274316427999483,0.1941792288877673
13301,Colina,0.06395853,0.25462612,0.0510881566259562,0.2457695820120488
13302,Lampa,0.03607469,0.25755729,0.0494795234825253,0.2560550690784594
13303,Tiltil,0.0679488,0.23666077,0.060569842861232,0.2891258389259906
